# RNA-ID	RBS-start	RBS-end	DNA-ID	DBS-start	DBS-end	Score	Error-rate	Errors                   	Motif	Strand	Orientation	Guanine-rate
lnc_inter_chr10_9222	545	565	chr1:58112548-58112568	0	20	16	0.2	d2d5d10d15	R	-	A	0
lnc_inter_chr10_9222	544	564	chr1:58112548-58112568	0	20	16	0.2	d2d5d10d15	R	-	A	0
lnc_inter_chr10_9222	543	563	chr1:58112548-58112568	0	20	16	0.2	d2d5d10d15	R	-	A	0
lnc_inter_chr10_9222	542	562	chr1:58112548-58112568	0	20	16	0.2	d2d5d10d15	R	-	A	0
lnc_inter_chr10_9222	541	561	chr1:58112548-58112568	0	20	16	0.2	d2d5d10d15	R	-	A	0
lnc_inter_chr10_9222	540	565	chr1:58112548-58112573	0	25	20	0.2	d2d5d10d15d20	R	-	A	0
lnc_inter_chr10_9222	539	565	chr1:58112548-58112574	0	26	21	0.19	d2d5d10d15d20	R	-	A	0
lnc_inter_chr10_9222	538	565	chr1:58112548-58112575	0	27	22	0.19	d2d5d10d15d20	R	-	A	0
lnc_inter_chr10_9222	537	564	chr1:58112548-58112575	0	27	22	0.19	d2d5d10d15d20	R	-	A	0
lnc_inter_chr10_9222	537	563	chr1:58112549-58112575	0	26	21	0.19	d1d4d9d14d19	R	-	A	0
lnc_inter_chr10_9222	535	561	chr1:58112549-58112575	0	26	21	0.19	d1d4d9d14d19	R	-	A	0
lnc_inter_chr10_9222	545	565	chr1:58112551-58112571	0	20	16	0.2	d2d7d12d17	R	-	A	0
lnc_inter_chr10_9222	544	565	chr1:58112551-58112572	0	21	17	0.19	d2d7d12d17	R	-	A	0
lnc_inter_chr10_9222	538	562	chr1:58112551-58112575	0	24	20	0.17	d2d7d12d17	R	-	A	0
lnc_inter_chr10_9222	537	560	chr1:58112552-58112575	0	23	19	0.17	d1d6d11d16	R	-	A	0
lnc_inter_chr10_9222	535	558	chr1:58112552-58112575	0	23	19	0.17	d1d6d11d16	R	-	A	0
lnc_inter_chr10_9222	538	559	chr1:58112554-58112575	0	21	18	0.14	d4d9d14	R	-	A	0
lnc_inter_chr10_9222	535	556	chr1:58112554-58112575	0	21	17	0.19	t1d4d9d14	R	-	A	0
lnc_inter_chr10_9222	537	557	chr1:58112555-58112575	0	20	17	0.15	d3d8d13	R	-	A	0
lnc_inter_chr10_9222	535	555	chr1:58112555-58112575	0	20	16	0.2	t1d3d8d13	R	-	A	0
