lnc	DBR	gname	RBR	RBR_DBR_ID	RBR_DBR_avg_len	RBR_DBR_TFO_count	RBR_DBR_start	RBR_DBR_end	RBR_DBR_score	RBR_DBR_error_rate	RBR_DBR_gc_error	RBR_DBR_RBRspan	RBR_DBR_DBRspan	RBR_DBR_TFO_avg_overlap	RBR_DBR_TFO_adj1	RBR_DBR_TFO_adj2
lnc_inter_chr10_8711	1	0610010F05Rik	3	lnc_inter_chr10_8711_DBR1_0610010F05Rik_RBR3	22	1	23634407	23634429	18	0.18	0.18	22	22	1	1	1
lnc_inter_chr10_8711	1	1110004F10Rik	1	lnc_inter_chr10_8711_DBR1_1110004F10Rik_RBR1	20.333333333333332	3	116092758	116092782	16.333333333333332	0.19666666666666668	0.066	24	29	2.5416666666666665	1.180327868852459	3.540983606557377
lnc_inter_chr10_8711	1	1110004F10Rik	2	lnc_inter_chr10_8711_DBR1_1110004F10Rik_RBR2	20	1	116092825	116092845	16	0.2	0.2	20	20	1	1	1
lnc_inter_chr10_8711	1	1600014C10Rik	1	lnc_inter_chr10_8711_DBR1_1600014C10Rik_RBR1	20.5	2	38182921	38182942	16.5	0.195	0.195	21	21	1.9523809523809523	1.024390243902439	2.048780487804878
lnc_inter_chr10_8711	1	2310030G06Rik	1	lnc_inter_chr10_8711_DBR1_2310030G06Rik_RBR1	20	1	50747436	50747456	17	0.15	0.2	20	20	1	1	1
lnc_inter_chr10_8711	1	2510039O18Rik	3	lnc_inter_chr10_8711_DBR1_2510039O18Rik_RBR3	20	1	147940690	147940710	16	0.2	0.2	20	20	1	1	1
lnc_inter_chr10_8711	1	2610507B11Rik	1	lnc_inter_chr10_8711_DBR1_2610507B11Rik_RBR1	20	2	78261016	78261038	16	0.2	0.05	22	20	1.8181818181818181	1.1	2.2
lnc_inter_chr10_8711	1	2900026A02Rik	1	lnc_inter_chr10_8711_DBR1_2900026A02Rik_RBR1	20.333333333333332	3	113221567	113221597	16.333333333333332	0.19666666666666668	0.11333333333333334	30	23	2.033333333333333	1.4754098360655739	4.426229508196721
lnc_inter_chr10_8711	1	9130401M01Rik	2	lnc_inter_chr10_8711_DBR1_9130401M01Rik_RBR2	20	1	58035173	58035193	16	0.2	0.05	20	20	1	1	1
lnc_inter_chr10_8711	1	A430005L14Rik	2	lnc_inter_chr10_8711_DBR1_A430005L14Rik_RBR2	22.857142857142858	7	153956519	153956545	18.857142857142858	0.1742857142857143	0.41285714285714287	26	30	6.153846153846154	1.1375	7.9624999999999995
lnc_inter_chr10_8711	1	AI987944	2	lnc_inter_chr10_8711_DBR1_AI987944_RBR2	21	1	41394212	41394233	17	0.19	0.43	21	21	1	1	1
lnc_inter_chr10_8711	1	Aaas	1	lnc_inter_chr10_8711_DBR1_Aaas_RBR1	20	6	102351549	102351569	16	0.2	0	20	29	6	1	6
lnc_inter_chr10_8711	1	Aar2	2	lnc_inter_chr10_8711_DBR1_Aar2_RBR2	21	1	156547018	156547039	17	0.19	0.19	21	21	1	1	1
lnc_inter_chr10_8711	1	Aarsd1	1	lnc_inter_chr10_8711_DBR1_Aarsd1_RBR1	20	2	101418085	101418106	16	0.2	0	21	20	1.9047619047619047	1.05	2.1
lnc_inter_chr10_8711	1	Abca3	1	lnc_inter_chr10_8711_DBR1_Abca3_RBR1	20	3	24351550	24351570	16	0.2	0.45	20	24	3	1	3
lnc_inter_chr10_8711	1	Abca8a	2	lnc_inter_chr10_8711_DBR1_Abca8a_RBR2	21	1	110096495	110096516	17	0.19	0.19	21	21	1	1	1
lnc_inter_chr10_8711	1	Abcb7	3	lnc_inter_chr10_8711_DBR1_Abcb7_RBR3	27.015625	64	104414685	104414753	22.640625	0.16240625	0.40609375000000003	68	51	25.426470588235293	2.517061885482938	161.09196067090804
lnc_inter_chr10_8711	1	Abcd2	3	lnc_inter_chr10_8711_DBR1_Abcd2_RBR3	25	1	91192694	91192719	20	0.2	0.08	25	25	1	1	1
lnc_inter_chr10_8711	1	Abcg2	1	lnc_inter_chr10_8711_DBR1_Abcg2_RBR1	20	1	58584630	58584650	16	0.2	0.2	20	20	1	1	1
lnc_inter_chr10_8711	1	Abhd14a	1	lnc_inter_chr10_8711_DBR1_Abhd14a_RBR1	21	1	106448635	106448656	17	0.19	0.48	21	21	1	1	1
lnc_inter_chr10_8711	1	Acbd3	1	lnc_inter_chr10_8711_DBR1_Acbd3_RBR1	22.5	2	180725277	180725303	18	0.2	0.08499999999999999	26	25	1.7307692307692308	1.1555555555555554	2.311111111111111
lnc_inter_chr10_8711	1	Acbd4	1	lnc_inter_chr10_8711_DBR1_Acbd4_RBR1	20	2	103100824	103100844	16	0.2	0	20	20	2	1	2
lnc_inter_chr10_8711	1	Acp6	1	lnc_inter_chr10_8711_DBR1_Acp6_RBR1	20	1	97157823	97157843	16	0.2	0.1	20	20	1	1	1
lnc_inter_chr10_8711	1	Actb	1	lnc_inter_chr10_8711_DBR1_Actb_RBR1	21	1	142906896	142906917	17	0.19	0.14	21	21	1	1	1
lnc_inter_chr10_8711	1	Actn1	1	lnc_inter_chr10_8711_DBR1_Actn1_RBR1	20	2	80260814	80260834	16	0.2	0.15	20	25	2	1	2
lnc_inter_chr10_8711	1	Actn4	1	lnc_inter_chr10_8711_DBR1_Actn4_RBR1	20.5	2	28963095	28963116	16.5	0.195	0.14500000000000002	21	21	1.9523809523809523	1.024390243902439	2.048780487804878
lnc_inter_chr10_8711	1	Actr10	1	lnc_inter_chr10_8711_DBR1_Actr10_RBR1	20.22222222222222	9	70936908	70936930	16.444444444444443	0.18666666666666668	0.099	22	40	8.272727272727273	1.087912087912088	9.791208791208792
lnc_inter_chr10_8711	1	Actr1a	1	lnc_inter_chr10_8711_DBR1_Actr1a_RBR1	20	2	46396299	46396320	16	0.2	0.1	21	20	1.9047619047619047	1.05	2.1
lnc_inter_chr10_8711	1	Actr2	1	lnc_inter_chr10_8711_DBR1_Actr2_RBR1	21	1	20112964	20112985	17	0.19	0.48	21	21	1	1	1
lnc_inter_chr10_8711	1	Actr5	1	lnc_inter_chr10_8711_DBR1_Actr5_RBR1	20	2	158624245	158624266	16	0.2	0.05	21	20	1.9047619047619047	1.05	2.1
lnc_inter_chr10_8711	1	Actr5	2	lnc_inter_chr10_8711_DBR1_Actr5_RBR2	20	2	158624413	158624445	16.5	0.175	0.05	32	21	1.25	1.6	3.2
lnc_inter_chr10_8711	1	Actr5	3	lnc_inter_chr10_8711_DBR1_Actr5_RBR3	21	2	158624655	158624679	17	0.19	0.12000000000000001	24	23	1.75	1.1428571428571428	2.2857142857142856
