lnc	DBR	gname	RBR	RBR_DBR_ID	RBR_DBR_avg_len	RBR_DBR_TFO_count	RBR_DBR_start	RBR_DBR_end	RBR_DBR_score	RBR_DBR_error_rate	RBR_DBR_gc_error	RBR_DBR_RBRspan	RBR_DBR_DBRspan	RBR_DBR_TFO_avg_overlap	RBR_DBR_TFO_adj1	RBR_DBR_TFO_adj2
lnc_inter_chr10_9224	1	0610010F05Rik	2	lnc_inter_chr10_9224_DBR1_0610010F05Rik_RBR2	29.432835820895523	201	23634239	23634332	24.308457711442784	0.17512437810945275	0.4006965174129353	93	45	63.61290322580645	3.15973630831643	635.1069979716024
lnc_inter_chr10_9224	1	1110004F10Rik	4	lnc_inter_chr10_9224_DBR1_1110004F10Rik_RBR4	20	1	116092836	116092856	16	0.2	0.3	20	20	1	1	1
lnc_inter_chr10_9224	1	1110008P14Rik	1	lnc_inter_chr10_9224_DBR1_1110008P14Rik_RBR1	20	1	32382036	32382056	16	0.2	0.5	20	20	1	1	1
lnc_inter_chr10_9224	1	1600014C10Rik	1	lnc_inter_chr10_9224_DBR1_1600014C10Rik_RBR1	20	1	38182360	38182380	16	0.2	0.2	20	20	1	1	1
lnc_inter_chr10_9224	1	1810055G02Rik	1	lnc_inter_chr10_9224_DBR1_1810055G02Rik_RBR1	20	1	3707441	3707461	16	0.2	0.3	20	20	1	1	1
lnc_inter_chr10_9224	1	2310030G06Rik	2	lnc_inter_chr10_9224_DBR1_2310030G06Rik_RBR2	20	1	50747447	50747467	16	0.2	0.35	20	20	1	1	1
lnc_inter_chr10_9224	1	2410002F23Rik	2	lnc_inter_chr10_9224_DBR1_2410002F23Rik_RBR2	21.333333333333332	3	44246149	44246171	17.333333333333332	0.18666666666666668	0.7166666666666667	22	28	2.909090909090909	1.03125	3.09375
lnc_inter_chr10_9224	1	2510039O18Rik	2	lnc_inter_chr10_9224_DBR1_2510039O18Rik_RBR2	20	1	147940245	147940265	16	0.2	0.65	20	20	1	1	1
lnc_inter_chr10_9224	1	2610507B11Rik	1	lnc_inter_chr10_9224_DBR1_2610507B11Rik_RBR1	25	1	78261010	78261035	20	0.2	0.04	25	25	1	1	1
lnc_inter_chr10_9224	1	2810004N23Rik	4	lnc_inter_chr10_9224_DBR1_2810004N23Rik_RBR4	20	2	124863852	124863874	16	0.2	0.575	22	22	1.8181818181818181	1.1	2.2
lnc_inter_chr10_9224	1	2900026A02Rik	1	lnc_inter_chr10_9224_DBR1_2900026A02Rik_RBR1	20	1	113221573	113221593	17	0.15	0.15	20	20	1	1	1
lnc_inter_chr10_9224	1	3110082I17Rik	2	lnc_inter_chr10_9224_DBR1_3110082I17Rik_RBR2	21	2	139460930	139460951	17	0.19	0.355	21	27	2	1	2
