lnc	gname	DBR_ID	DBR	DBR_chr	DBR_start	DBR_end	DBR_span	DBR_RBR_count	DBR_TFO_count	DBR_RBR_span	DBR_TFO_abj1	DBR_TFO_abj2	DBR_score	DBR_error_rate	DBR_gc_error	BR_list
lnc_inter_chr10_9224	0610010F05Rik	lnc_inter_chr10_9224_0610010F05Rik_DBR1	1	chr10	1219	1264	45	1	201	93	3.15973630831643	635.1069979716024	24.308457711442784	0.17512437810945275	0.4006965174129353	lnc_inter_chr10_9224_DBR1_0610010F05Rik_RBR2
lnc_inter_chr10_9224	0610010F05Rik	lnc_inter_chr10_9224_0610010F05Rik_DBR2	2	chr10	3637	3668	31	1	67	79	3.0349770642201834	203.3434633027523	21	0.19343283582089554	0.29059701492537315	lnc_inter_chr10_9224_DBR2_0610010F05Rik_RBR2
lnc_inter_chr10_9224	0610010F05Rik	lnc_inter_chr10_9224_0610010F05Rik_DBR3	3	chr10	3729	3784	55	1	128	81	2.883203559510567	369.0500556173526	22.71875	0.19203125000000001	0.35	lnc_inter_chr10_9224_DBR3_0610010F05Rik_RBR2
lnc_inter_chr10_9224	0610010F05Rik	lnc_inter_chr10_9224_0610010F05Rik_DBR4	4	chr10	5654	5674	20	1	1	20	1	1	16	0.2	0.35	lnc_inter_chr10_9224_DBR4_0610010F05Rik_RBR2
lnc_inter_chr10_9224	0610010F05Rik	lnc_inter_chr10_9224_0610010F05Rik_DBR5	5	chr10	5771	5856	85	1	1043	98	3.299141436963398	3441.004518752824	26.44295302013423	0.11018600191754555	0.38963566634707575	lnc_inter_chr10_9224_DBR5_0610010F05Rik_RBR2
lnc_inter_chr10_9224	0610010F05Rik	lnc_inter_chr10_9224_0610010F05Rik_DBR6	6	chr10	6099	6133	34	1	115	80	3.436682853940979	395.2185282032126	18.82608695652174	0.19104347826086956	0.4106956521739131	lnc_inter_chr10_9224_DBR6_0610010F05Rik_RBR2
lnc_inter_chr10_9224	0610010F05Rik	lnc_inter_chr10_9224_0610010F05Rik_DBR7	7	chr10	6143	6175	32	2	38	55	2.727397260273973	60.78630136986302	16.11111111111111	0.2	0.03861111111111112	lnc_inter_chr10_9224_DBR7_0610010F05Rik_RBR3,lnc_inter_chr10_9224_DBR7_0610010F05Rik_RBR4
lnc_inter_chr10_9224	0610010F05Rik	lnc_inter_chr10_9224_0610010F05Rik_DBR8	8	chr10	6758	6778	20	1	6	36	1.8	10.8	16	0.2	0.45	lnc_inter_chr10_9224_DBR8_0610010F05Rik_RBR2
lnc_inter_chr10_9224	0610010F05Rik	lnc_inter_chr10_9224_0610010F05Rik_DBR9	9	chr10	6865	6926	61	1	336	92	3.1398679532757745	1054.9956323006602	24	0.1816964285714286	0.3174404761904762	lnc_inter_chr10_9224_DBR9_0610010F05Rik_RBR2
lnc_inter_chr10_9224	0610010F05Rik	lnc_inter_chr10_9224_0610010F05Rik_DBR10	10	chr10	8710	8736	26	1	37	74	3.330900243309002	123.24330900243308	18.08108108108108	0.18486486486486486	0.3724324324324324	lnc_inter_chr10_9224_DBR10_0610010F05Rik_RBR2
