lnc	gname	DBR_ID	DBR	DBR_chr	DBR_start	DBR_end	DBR_span	DBR_RBR_count	DBR_TFO_count	DBR_RBR_span	DBR_TFO_abj1	DBR_TFO_abj2	DBR_score	DBR_error_rate	DBR_gc_error	BR_list
lnc_inter_chr10_9222	0610010F05Rik	lnc_inter_chr10_9222_0610010F05Rik_DBR1	1	chr10	535	565	30	2	19	44	2.2	22.599999999999998	16	0.2	0.025	lnc_inter_chr10_9222_DBR1_0610010F05Rik_RBR1,lnc_inter_chr10_9222_DBR1_0610010F05Rik_RBR2
lnc_inter_chr10_9222	1110004F10Rik	lnc_inter_chr10_9222_1110004F10Rik_DBR1	1	chr10	534	565	31	1	18	25	1.1421319796954315	20.558375634517766	17.77777777777778	0.18666666666666668	0.0044444444444444444	lnc_inter_chr10_9222_DBR1_1110004F10Rik_RBR2
lnc_inter_chr10_9222	1110004F10Rik	lnc_inter_chr10_9222_1110004F10Rik_DBR2	2	chr10	782	802	20	1	1	20	1	1	16	0.2	0.35	lnc_inter_chr10_9222_DBR2_1110004F10Rik_RBR3
lnc_inter_chr10_9222	1110004F10Rik	lnc_inter_chr10_9222_1110004F10Rik_DBR3	3	chr10	2036	2057	21	1	1	21	1	1	18	0.14	0.76	lnc_inter_chr10_9222_DBR3_1110004F10Rik_RBR1
lnc_inter_chr10_9222	1600014C10Rik	lnc_inter_chr10_9222_1600014C10Rik_DBR1	1	chr10	1792	1812	20	1	1	20	1	1	16	0.2	0.15	lnc_inter_chr10_9222_DBR1_1600014C10Rik_RBR1
lnc_inter_chr10_9222	2510039O18Rik	lnc_inter_chr10_9222_2510039O18Rik_DBR1	1	chr10	230	256	26	1	1	26	1	1	21	0.19	0.54	lnc_inter_chr10_9222_DBR1_2510039O18Rik_RBR2
lnc_inter_chr10_9222	2510039O18Rik	lnc_inter_chr10_9222_2510039O18Rik_DBR2	2	chr10	537	565	28	1	19	26	1.2731958762886597	24.190721649484534	16.42105263157895	0.19578947368421054	0	lnc_inter_chr10_9222_DBR2_2510039O18Rik_RBR1
lnc_inter_chr10_9222	2510039O18Rik	lnc_inter_chr10_9222_2510039O18Rik_DBR3	3	chr10	779	799	20	1	1	20	1	1	16	0.2	0.35	lnc_inter_chr10_9222_DBR3_2510039O18Rik_RBR3
lnc_inter_chr10_9222	2510039O18Rik	lnc_inter_chr10_9222_2510039O18Rik_DBR4	4	chr10	1059	1083	24	1	2	24	1.0909090909090908	2.1818181818181817	18	0.18	0.475	lnc_inter_chr10_9222_DBR4_2510039O18Rik_RBR2
lnc_inter_chr10_9222	2510039O18Rik	lnc_inter_chr10_9222_2510039O18Rik_DBR5	5	chr10	1785	1805	20	1	1	20	1	1	16	0.2	0.05	lnc_inter_chr10_9222_DBR5_2510039O18Rik_RBR1
